2025-12-29 14:14:54.490 [main] INFO  com.example.tool.BaseStationApplication - Starting BaseStationApplication using Java 1.8.0_391 on gongxuesongdeMac-mini.local with PID 8541 (/Users/gongxuesong/Work/individual/工具/tool-ai-all/tool-ai-service/target/classes started by gongxuesong in /Users/gongxuesong/Work/individual/工具/tool-ai-all)
2025-12-29 14:14:54.497 [main] INFO  com.example.tool.BaseStationApplication - The following profiles are active: dev
2025-12-29 14:14:55.445 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-12-29 14:14:55.448 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-29 14:14:55.546 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 54 ms. Found 0 Redis repository interfaces.
2025-12-29 14:14:55.740 [main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2025-12-29 14:14:56.426 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-12-29 14:14:56.436 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-29 14:14:56.436 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.45]
2025-12-29 14:14:56.481 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-29 14:14:56.481 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1889 ms
2025-12-29 14:14:58.183 [main] INFO  c.e.tool.service.impl.HuoshanImageServiceImpl - 火山引擎ArkService初始化成功
2025-12-29 14:14:58.672 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2025-12-29 14:14:59.473 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2025-12-29 14:14:59.550 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-12-29 14:14:59.564 [main] INFO  com.example.tool.BaseStationApplication - Started BaseStationApplication in 5.682 seconds (JVM running for 6.395)
2025-12-29 14:15:30.640 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2025-12-29 14:15:30.681 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2025-12-29 14:15:30.682 [SpringContextShutdownHook] INFO  c.e.tool.service.impl.HuoshanImageServiceImpl - 火山引擎ArkService已关闭
